ID,Inches,Price,ram_gb,weight_kg,touchscreen,ips_panel,cpu_ghz,cpu_gen,ssd_gb,hdd_gb,flash_gb,gpu_tier,ppi,total_storage_gb,has_ssd,has_hdd,has_dedicated_gpu,cpu_tier_score,ram_log2,log_price,Company_Acer,Company_Apple,Company_Asus,Company_Chuwi,Company_Dell,Company_Fujitsu,Company_Google,Company_HP,Company_Huawei,Company_LG,Company_Lenovo,Company_MSI,Company_Mediacom,Company_Microsoft,Company_Razer,Company_Samsung,Company_Toshiba,Company_Vero,Company_Xiaomi,TypeName_2 in 1 Convertible,TypeName_Gaming,TypeName_Netbook,TypeName_Notebook,TypeName_Ultrabook,TypeName_Workstation,cpu_brand_AMD,cpu_brand_Intel,cpu_brand_Other,cpu_tier_Atom,cpu_tier_Celeron,cpu_tier_Other,cpu_tier_Pentium,cpu_tier_Ryzen,cpu_tier_Xeon,cpu_tier_i3,cpu_tier_i5,cpu_tier_i7,gpu_brand_AMD,gpu_brand_Intel,gpu_brand_Nvidia,os_Linux,os_NoOS,os_Win10,os_WinOther,os_macOS
1012,14.0,84715.2,4,1.48,0,0,2.5,7,256,0,0,0,157.3505121487356,256,1,0,0,5,2.0,11.347062125633828,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False
1013,14.0,100550.5488,8,1.54,0,0,2.5,6,256,0,0,0,157.3505121487356,256,1,0,0,6,3.0,11.518425798364119,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False
1014,13.3,42624.0,4,1.49,0,0,2.4,7,0,500,0,0,117.82653006268643,500,0,1,0,4,2.0,10.660196214585818,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False
1015,13.3,64468.8,8,1.5,0,0,2.3,6,256,0,0,0,117.82653006268643,256,1,0,0,5,3.0,11.073952176081768,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False
1016,15.6,41025.0672,4,2.04,0,0,2.4,7,256,0,0,0,100.45466986113651,256,1,0,0,4,2.0,10.621962929026408,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False
1017,17.3,158135.04,16,2.4,0,1,2.7,6,512,0,0,3,254.67134914246222,512,1,0,1,6,4.0,11.971210954208564,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
1018,14.0,79387.2,8,1.47,0,1,2.3,6,256,0,0,0,157.3505121487356,256,1,0,0,5,3.0,11.28210502158141,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False
1019,14.0,118761.12,8,1.43,0,0,2.5,6,256,0,0,0,157.3505121487356,256,1,0,0,6,3.0,11.684877779846692,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False
1020,15.6,42410.3472,4,2.08,1,1,2.3,6,0,1024,0,0,141.21199808219862,1024,0,1,0,4,2.0,10.655171228057007,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False
1021,13.3,84715.2,8,1.2,0,0,2.3,6,256,0,0,0,165.6321180513006,256,1,0,0,5,3.0,11.347062125633828,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False
