Inches,Ram,Weight,Price,Company_cat_encoded,CPU_GHz,CPU_TE,GPU_TE,Memory_TE,TypeName_2 in 1 Convertible,TypeName_Gaming,TypeName_Netbook,TypeName_Notebook,TypeName_Ultrabook,TypeName_Workstation,OpSys_Android,OpSys_Chrome OS,OpSys_Linux,OpSys_Mac OS X,OpSys_No OS,OpSys_Windows 10,OpSys_Windows 10 S,OpSys_Windows 7,OpSys_macOS,ScreenResolution_combo_encoded
-1.2044068787278503,8,1.37,71378.6832,83340.49988571428,2.3,62178.452057181195,67767.16169193268,37791.85906234526,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,65732.926373607
-1.2044068787278503,8,1.34,47895.5232,83340.49988571428,1.8,59153.054814600626,58888.758674420475,56149.48496070844,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,59109.04619672677
0.4087716575222072,8,1.86,30636.0,56891.044221897806,2.5,48935.96708003235,60801.45417223769,65501.763413592234,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,61619.93206153846
0.2684952630656809,16,1.83,135195.33599999998,83340.49988571428,2.7,69670.50187506582,69670.50187506582,99141.83329946118,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,72133.06227335313
-1.2044068787278503,8,1.37,96095.808,83340.49988571428,3.1,65902.04114904877,65902.04114904877,65501.763413592234,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,65732.926373607
0.4087716575222072,4,2.1,21312.0,33394.615968932034,3.0,49496.09800360738,49403.69434060654,33456.12042551855,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28888.975345338953
0.2684952630656809,16,2.04,114017.6016,83340.49988571428,2.2,66915.09916181704,66915.09916181704,63960.24222791451,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,72133.06227335313
-1.2044068787278503,8,1.34,61735.536,83340.49988571428,1.8,59153.054814600626,58888.758674420475,63960.24222791451,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,59109.04619672677
-0.713439498130007,16,1.3,79653.59999999999,58830.14387848101,1.8,64262.525709622234,57159.22248918598,99141.83329946118,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,61619.93206153846
-0.713439498130007,8,1.6,41025.6,33394.615968932034,1.6,50350.86078144627,64207.6342965589,65501.763413592234,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,72203.31164977867
0.4087716575222072,4,1.86,20986.992,56891.044221897806,2.5,48935.96708003235,60801.45417223769,33456.12042551855,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,28888.975345338953
0.4087716575222072,4,1.86,18381.0672,56891.044221897806,2.0,26812.508832232565,55998.36602426531,33456.12042551855,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,61619.93206153846
0.2684952630656809,16,1.83,130001.6016,83340.49988571428,2.8,68994.7530160352,68994.7530160352,65501.763413592234,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,72133.06227335313
0.4087716575222072,4,2.2,26581.391999999996,63193.75578181818,2.0,26812.508832232565,44461.864697282304,65501.763413592234,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,61619.93206153846
-2.116203442695275,8,0.92,67260.672,83340.49988571428,1.2,60831.62638566295,66716.37510621715,65501.763413592234,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,61516.47216016383
-1.2044068787278503,8,1.37,80908.344,83340.49988571428,2.3,62178.452057181195,67767.16169193268,65501.763413592234,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,65732.926373607
0.4087716575222072,8,2.2,39693.6,63193.75578181818,2.7,71262.4887545527,44461.864697282304,65501.763413592234,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,61619.93206153846
0.2684952630656809,16,1.83,152274.24,83340.49988571428,2.9,71892.61201829792,71892.61201829792,99141.83329946118,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,72133.06227335313
0.4087716575222072,8,2.2,26586.72,57882.5632,2.4,35918.18974399695,50765.95664152091,35918.831498455475,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,61619.93206153846
-1.2044068787278503,8,1.22,52161.119999999995,63193.75578181818,1.6,50350.86078144627,64207.6342965589,37791.85906234526,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,63848.84244795188
-2.396756231608329,2,0.98,10224.432,58830.14387848101,1.44,51249.439022637045,23488.260941383043,22622.044874335712,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28888.975345338953
0.4087716575222072,8,2.5,53226.72,57882.5632,2.5,58615.739630828444,64118.39617803931,67491.65823680011,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,72203.31164977867
0.4087716575222072,4,1.86,13746.24,56891.044221897806,1.5,53671.21337570846,51696.91143643609,33456.12042551855,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,28888.975345338953
-1.2044068787278503,8,1.62,43636.32,63193.75578181818,1.6,50350.86078144627,64207.6342965589,65501.763413592234,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,72457.54720486978
0.4087716575222072,8,1.91,35111.52,56891.044221897806,1.8,64262.525709622234,60801.45417223769,65501.763413592234,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,61619.93206153846
0.4087716575222072,4,2.3,22305.1392,63193.75578181818,2.0,26812.508832232565,55998.36602426531,35918.831498455475,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28888.975345338953
-1.2044068787278503,8,1.35,58554.72,83340.49988571428,1.6,59005.73515921167,58888.758674420475,56149.48496070844,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,59109.04619672677
0.4087716575222072,8,2.2,42624.0,63193.75578181818,1.6,50350.86078144627,47566.1581866405,65501.763413592234,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,61619.93206153846
0.4087716575222072,8,1.88,69157.44,63193.75578181818,1.9,62358.78175542744,64207.6342965589,61115.67074253798,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,61619.93206153846
1.6011210104026858,8,2.5,47738.88,56891.044221897806,1.6,50350.86078144627,58244.7766951036,35918.831498455475,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,61619.93206153846
0.4087716575222072,4,1.89,13053.0672,16745.7264,1.44,53778.75762626263,32375.54568012507,46030.476249983374,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,61619.93206153846
-0.713439498130007,2,1.65,10602.72,58830.14387848101,1.5,53459.94669041099,51696.91143643609,22622.044874335712,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28888.975345338953
1.6011210104026858,4,2.71,23389.92,56891.044221897806,2.5,51810.300055561696,47566.1581866405,33456.12042551855,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,61619.93206153846
-1.2044068787278503,16,1.2,99580.32,63193.75578181818,1.8,64262.525709622234,64207.6342965589,99141.83329946118,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,65036.686478892065
-1.2044068787278503,8,1.35,53173.439999999995,83340.49988571428,1.6,59005.73515921167,58888.758674420475,63960.24222791451,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,59109.04619672677
-0.713439498130007,4,1.44,13266.72,57882.5632,1.1,28667.465354355365,23268.95198549716,46030.476249983374,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28888.975345338953
0.4087716575222072,4,2.1,19553.76,33394.615968932034,2.7,53186.334245230406,60801.45417223769,35918.831498455475,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28888.975345338953
1.6011210104026858,8,2.8,52161.119999999995,63193.75578181818,1.6,50350.86078144627,47566.1581866405,67491.65823680011,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,72203.31164977867
0.4087716575222072,4,1.86,26037.403199999997,56891.044221897806,2.5,48935.96708003235,60801.45417223769,35918.831498455475,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28888.975345338953
0.4087716575222072,8,2.1,46833.119999999995,56891.044221897806,1.6,50350.86078144627,58529.83210730698,65501.763413592234,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,61619.93206153846
0.4087716575222072,4,2.0,20725.92,58830.14387848101,2.0,26812.508832232565,60801.45417223769,35918.831498455475,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,61619.93206153846
0.4087716575222072,16,2.65,79866.72,63193.75578181818,2.8,93794.4464721478,94677.059256203,98701.95563911092,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,72203.31164977867
0.4087716575222072,8,2.3,27864.9072,58830.14387848101,2.5,48935.96708003235,50765.95664152091,35918.831498455475,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28888.975345338953
0.4087716575222072,4,2.2,36336.96,33394.615968932034,1.6,50350.86078144627,64207.6342965589,65501.763413592234,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,72203.31164977867
1.6011210104026858,12,2.77,53226.72,63193.75578181818,1.6,50350.86078144627,60753.2192389335,35918.831498455475,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,72457.54720486978
